,Breed,Breed2,MixedBreed,isCat,Color,ColorPattern,Color2,ColorPattern2,AgeuponOutcome,OutcomeType,SexuponOutcome,Name
22,plott hound,boxer,False,0,Brown,Brindle,White,,730.0,Adoption,Spayed Female,True
23,german shepherd,,True,0,Brown,,White,,300.0,Adoption,Neutered Male,True
24,german shepherd,,True,0,Black,,Brown,,60.0,Return_to_owner,Neutered Male,True
25,domestic shorthair,,True,1,Orange,Tabby,,,30.0,Transfer,Intact Female,True
26,american staffordshire terrier,,True,0,Chocolate,,White,,180.0,Adoption,Spayed Female,True
27,chihuahua shorthair,,True,0,White,,Tan,,1825.0,Adoption,Spayed Female,True
28,domestic shorthair,,True,1,Cream,Tabby,White,,60.0,Adoption,Spayed Female,True
29,russian blue,,True,1,Blue,,,,2555.0,Return_to_owner,Neutered Male,True
30,domestic shorthair,,True,1,Calico,,,,1095.0,Euthanasia,Spayed Female,False
31,labrador retriever,,True,0,Black,,White,,120.0,Transfer,Intact Male,True
32,domestic shorthair,,True,1,Torbie,,,,60.0,Adoption,Spayed Female,False
33,collie smooth,german shepherd,False,0,Brown,,Black,,1825.0,Return_to_owner,Neutered Male,True
34,chihuahua shorthair,,True,0,Brown,,,,1095.0,Transfer,Neutered Male,True
35,labrador retriever,,True,0,Yellow,,,,1095.0,Euthanasia,Intact Male,False
36,pit bull,,True,0,Brown,,White,,1095.0,Return_to_owner,Neutered Male,True
37,domestic shorthair,,True,1,Blue,,White,,60.0,Transfer,Intact Male,False
38,domestic shorthair,,True,1,Black,,White,,120.0,Transfer,Neutered Male,True
39,domestic shorthair,,True,1,Brown,Tabby,,,21.0,Transfer,Intact Male,False
40,domestic shorthair,,True,1,Blue,Tabby,,,2555.0,Adoption,Spayed Female,True
41,domestic shorthair,,True,1,Orange,Tabby,,,60.0,Transfer,Intact Male,False
42,domestic shorthair,,True,1,Brown,Tabby,,,60.0,Transfer,Intact Female,True
43,domestic longhair,,True,1,Black,,White,,1460.0,Transfer,Intact Male,False
44,domestic shorthair,,True,1,Black,,White,,730.0,Adoption,Neutered Male,True
45,beagle,,False,0,Tricolor,,,,4380.0,Return_to_owner,Neutered Male,True
46,domestic shorthair,,True,1,White,,Black,,3285.0,Return_to_owner,Spayed Female,True
47,domestic shorthair,,True,1,Black,,,,21.0,Transfer,Intact Female,False
48,german shepherd,,True,0,Black,,Brown,,150.0,Adoption,Spayed Female,True
49,pit bull,labrador retriever,False,0,Chocolate,,White,,2190.0,Euthanasia,Intact Male,False
50,domestic shorthair,,True,1,Tortie,,,,365.0,Transfer,Intact Female,False
51,domestic shorthair,,True,1,Brown,Tabby,,,90.0,Adoption,Spayed Female,True
52,domestic shorthair,,True,1,Blue,Tabby,White,,21.0,Transfer,Intact Female,False
53,blue lacy,,True,0,Gray,,White,,730.0,Adoption,Neutered Male,True
54,domestic shorthair,,True,1,Orange,Tabby,White,,60.0,Adoption,Spayed Female,True
55,domestic shorthair,,True,1,Black,,,,7.0,Transfer,Intact Male,False
56,domestic shorthair,,True,1,Calico,,,,60.0,Adoption,Spayed Female,True
57,chihuahua shorthair,,True,0,Tan,,,,365.0,Transfer,Intact Male,False
58,black mouth cur,,True,0,Tan,,Black,,1460.0,Return_to_owner,Spayed Female,True
59,dachshund,beagle,False,0,Brown,,White,,730.0,Adoption,Neutered Male,True
60,domestic shorthair,,True,1,Orange,Tabby,White,,365.0,Transfer,Intact Male,True
61,yorkshire terrier,,True,0,Brown,,Black,,4015.0,Euthanasia,Spayed Female,True
62,domestic shorthair,,True,1,Black,,,,30.0,Transfer,Intact Female,True
63,dachshund,,True,0,Tan,,White,,730.0,Adoption,Spayed Female,True
64,domestic shorthair,,True,1,Black,,,,14.0,Transfer,Unknown,False
65,maltese,,True,0,White,,,,2190.0,Return_to_owner,Spayed Female,True
66,pointer,,True,0,Black,,White,,180.0,Transfer,Neutered Male,True
67,english foxhound,,False,0,Buff,,,,60.0,Transfer,Intact Female,True
68,domestic shorthair,,True,1,Brown,Tabby,White,,60.0,Transfer,Unknown,False
69,chihuahua shorthair,,True,0,Red,,,,365.0,Adoption,Spayed Female,True
70,vizsla,,True,0,Brown,,,,60.0,Adoption,Neutered Male,True
71,pit bull,,True,0,Brown,Brindle,White,,730.0,Transfer,Neutered Male,True
72,german shepherd,great pyrenees,False,0,White,,,,1095.0,Adoption,Spayed Female,False
73,domestic shorthair,,True,1,Black,,,,365.0,Return_to_owner,Intact Female,True
74,yorkshire terrier,,True,0,Blue,,Tan,,1460.0,Return_to_owner,Spayed Female,True
75,cardigan welsh corgi,chihuahua shorthair,False,0,Tan,,,,730.0,Transfer,Spayed Female,True
76,domestic longhair,,False,1,Brown,Tabby,,,90.0,Adoption,Spayed Female,True
77,domestic shorthair,,True,1,Calico,,,,365.0,Euthanasia,Intact Female,False
78,chow chow,pit bull,False,0,Black,,,,60.0,Adoption,Neutered Male,True
79,domestic shorthair,,True,1,Black,,White,,730.0,Transfer,Spayed Female,False
80,chihuahua shorthair,,False,0,White,,,,365.0,Adoption,Neutered Male,True
81,domestic shorthair,,True,1,Blue,Tabby,,,14.0,Euthanasia,Unknown,False
82,siamese,,True,1,Seal,Point,,,28.0,Transfer,Unknown,True
83,domestic shorthair,,True,1,Blue,Tabby,,,730.0,Transfer,Intact Male,False
84,pit bull,,True,0,Brown,Brindle,,,4380.0,Euthanasia,Neutered Male,True
85,dachshund,beagle,False,0,Brown,,White,,365.0,Adoption,Neutered Male,False
86,domestic shorthair,,True,1,Black,,,,60.0,Adoption,Neutered Male,True
87,domestic shorthair,,True,1,Black,,,,14.0,Transfer,Intact Male,False
88,labrador retriever,,True,0,Black,,White,,90.0,Transfer,Intact Female,False
89,domestic medium hair,,True,1,Calico,,,,90.0,Adoption,Spayed Female,False
90,plott hound,,True,0,Brown,Brindle,White,,150.0,Adoption,Neutered Male,True
91,boxer,great dane,False,0,Black,,,,1095.0,Adoption,Spayed Female,True
92,lhasa apso,,False,0,White,,Black,,2555.0,Transfer,Spayed Female,True
93,german shepherd,,True,0,Black,,Tan,,730.0,Euthanasia,Spayed Female,True
94,domestic shorthair,,True,1,Black,,,,120.0,Adoption,Spayed Female,True
95,beagle,treeing walker coonhound,False,0,White,,Brown,,3285.0,Adoption,Spayed Female,True
96,border collie,,True,0,Black,,White,,210.0,Transfer,Neutered Male,True
97,domestic shorthair,,True,1,Black,,White,,60.0,Adoption,Neutered Male,False
98,domestic shorthair,,True,1,Black,,White,,1095.0,Transfer,Intact Male,False
99,border terrier,,True,0,Gray,,,,1095.0,Adoption,Neutered Male,False
100,chihuahua shorthair,,True,0,Tan,,White,,1825.0,Adoption,Neutered Male,True
101,boxer,,True,0,Brown,Brindle,White,,1825.0,Transfer,Neutered Male,True
102,domestic medium hair,,True,1,Blue,,,,14.0,Transfer,Intact Female,False
103,domestic shorthair,,True,1,Black,,,,14.0,Transfer,Unknown,False
104,domestic shorthair,,True,1,Torbie,,,,1460.0,Transfer,Spayed Female,True
105,cairn terrier,,True,0,Tan,,White,,1460.0,Return_to_owner,Neutered Male,True
106,domestic shorthair,,True,1,Brown,Tabby,,,60.0,Adoption,Neutered Male,True
107,chihuahua shorthair,,True,0,Black,,Tan,,730.0,Return_to_owner,Spayed Female,True
108,dogo argentino,,True,0,White,,,,730.0,Adoption,Neutered Male,True
109,dachshund,,True,0,Black,,Brown,,3285.0,Return_to_owner,Neutered Male,True
110,beagle,,True,0,Tricolor,,,,1825.0,Return_to_owner,Neutered Male,True
111,chihuahua shorthair,dachshund,False,0,Yellow,Brindle,White,,365.0,Euthanasia,Neutered Male,True
112,pit bull,,True,0,Fawn,,White,,730.0,Adoption,Spayed Female,True
113,domestic shorthair,,True,1,Brown,Tabby,,,21.0,Transfer,Intact Male,False
114,pit bull,,True,0,White,,Brown,,150.0,Transfer,Intact Male,True
115,domestic shorthair,,True,1,Orange,Tabby,,,2190.0,Euthanasia,Intact Male,False
116,chihuahua shorthair,,True,0,Tan,,,,365.0,Adoption,Spayed Female,True
117,chihuahua shorthair,,True,0,Black,,White,,90.0,Transfer,Intact Male,True
118,domestic longhair,,True,1,Calico,,,,30.0,Transfer,Intact Female,True
119,chihuahua shorthair,,True,0,Brown,,,,1095.0,Return_to_owner,Spayed Female,True
120,dachshund,,True,0,Black,,,,1825.0,Return_to_owner,Neutered Male,True
121,miniature schnauzer,miniature poodle,False,0,Black,,,,2920.0,Adoption,Neutered Male,True
122,labrador retriever,,True,0,Black,,White,,60.0,Adoption,Spayed Female,False
123,domestic shorthair,,True,1,Tortie,,,,2555.0,Euthanasia,Intact Female,False
124,domestic shorthair,,True,1,Black,,,,60.0,Adoption,Intact Female,True
125,pit bull,,False,0,Black,,,,1825.0,Adoption,Neutered Male,True
126,pit bull,,True,0,White,,Brown,,365.0,Adoption,Neutered Male,True
127,domestic shorthair,,True,1,Brown,Tabby,,,90.0,Transfer,Intact Male,False
128,chihuahua shorthair,,True,0,Brown,,White,,730.0,Return_to_owner,Neutered Male,True
129,labrador retriever,,True,0,Chocolate,,White,,3285.0,Return_to_owner,Spayed Female,True
130,pit bull,,True,0,Red,,White,,1095.0,Adoption,Spayed Female,True
131,domestic shorthair,,True,1,Calico,,,,1095.0,Return_to_owner,Spayed Female,True
132,chihuahua shorthair,jack russell terrier,False,0,Black,,White,,365.0,Adoption,Spayed Female,True
133,chihuahua shorthair,,True,0,Black,,Tan,,730.0,Transfer,Spayed Female,True
134,pit bull,,False,0,Brown,Brindle,,,365.0,Return_to_owner,Spayed Female,True
135,siamese,,True,1,Flame,Point,,,730.0,Transfer,Neutered Male,True
136,tibetan terrier,,True,0,Brown,,,,730.0,Return_to_owner,Spayed Female,True
137,domestic shorthair,,True,1,Blue,,White,,730.0,Transfer,Intact Female,False
138,domestic shorthair,,True,1,Tortie,,,,90.0,Transfer,Unknown,False
139,miniature pinscher,chihuahua shorthair,False,0,Tricolor,,,,30.0,Adoption,Spayed Female,True
140,domestic shorthair,,True,1,Orange,Tabby,White,,60.0,Adoption,Neutered Male,False
141,domestic medium hair,,True,1,Cream,Tabby,,,300.0,Adoption,Neutered Male,False
142,domestic medium hair,,True,1,Brown,Tabby,White,,730.0,Transfer,Spayed Female,True
143,domestic medium hair,,True,1,Calico,,,,60.0,Adoption,Spayed Female,True
144,labrador retriever,,True,0,Yellow,,,,180.0,Adoption,Neutered Male,True
145,domestic shorthair,,True,1,Brown,Tabby,,,60.0,Adoption,Spayed Female,True
146,dachshund,,True,0,Tan,,,,365.0,Adoption,Spayed Female,False
147,dachshund,,True,0,Brown,,White,,180.0,Transfer,Intact Female,True
148,domestic shorthair,,True,1,Black,,White,,365.0,Adoption,Spayed Female,True
149,domestic shorthair,,True,1,Calico,,,,21.0,Transfer,Intact Male,False
150,domestic shorthair,,True,1,Brown,Tabby,,,730.0,Adoption,Neutered Male,True
151,blue lacy,,True,0,Blue,,White,,330.0,Adoption,Spayed Female,True
152,rat terrier,,True,0,Tricolor,,,,90.0,Transfer,Neutered Male,False
153,dachshund longhair,,False,0,Brown,,,,730.0,Return_to_owner,Spayed Female,True
154,pit bull,,True,0,Red,,,,730.0,Transfer,Neutered Male,True
155,pit bull,,True,0,Brown,,White,,730.0,Adoption,Neutered Male,True
156,domestic longhair,,False,1,Calico,,,,120.0,Adoption,Spayed Female,True
157,dachshund,chihuahua shorthair,False,0,Red,,,,120.0,Transfer,Intact Female,False
158,domestic shorthair,,True,1,Torbie,,,,150.0,Transfer,Intact Female,False
159,domestic shorthair,,True,1,Black,Tabby,White,,60.0,Adoption,Neutered Male,True
160,chihuahua shorthair,,True,0,Brown,,White,,2555.0,Transfer,Neutered Male,True
161,domestic shorthair,,True,1,Black,,White,,1460.0,Adoption,Neutered Male,True
162,domestic shorthair,,True,1,Tortie,,Calico,,21.0,Transfer,Intact Female,False
163,border collie,,True,0,Black,,White,,180.0,Adoption,Neutered Male,True
164,labrador retriever,,True,0,Black,,White,,150.0,Adoption,Intact Female,True
165,maltese,,False,0,White,,,,2920.0,Return_to_owner,Spayed Female,True
166,domestic shorthair,,True,1,Black,,,,60.0,Adoption,Neutered Male,False
167,domestic shorthair,,True,1,Blue,Tabby,White,,30.0,Adoption,Spayed Female,True
168,labrador retriever,,True,0,White,,,,150.0,Return_to_owner,Spayed Female,False
169,domestic shorthair,,True,1,Brown,Tabby,,,30.0,Transfer,Intact Male,True
170,domestic shorthair,,True,1,Blue,Tabby,,,120.0,Transfer,Intact Male,False
171,chihuahua shorthair,,True,0,White,,Tan,,365.0,Adoption,Spayed Female,True
172,labrador retriever,rottweiler,False,0,Black,,Brown,,730.0,Adoption,Neutered Male,True
173,domestic shorthair,,True,1,Tortie,,,,4015.0,Transfer,Spayed Female,True
174,dachshund,manchester terrier,False,0,Tricolor,,,,60.0,Adoption,Neutered Male,False
175,domestic shorthair,,True,1,White,,Black,,60.0,Transfer,Neutered Male,True
176,domestic shorthair,,True,1,Brown,Tabby,,,60.0,Adoption,Intact Female,True
177,plott hound,labrador retriever,False,0,Black,,Brown,Brindle,30.0,Adoption,Spayed Female,True
178,chihuahua shorthair,rat terrier,False,0,White,,Tan,,2555.0,Return_to_owner,Spayed Female,True
179,domestic shorthair,,True,1,Cream,Tabby,White,,4.0,Transfer,Intact Male,False
180,siberian husky,,False,0,White,,Gray,,1460.0,Return_to_owner,Neutered Male,True
181,australian cattle dog,,True,0,Tan,,White,,730.0,Transfer,Spayed Female,True
182,pointer,,True,0,White,,Black,,365.0,Return_to_owner,Spayed Female,True
183,pit bull,,True,0,Brown,Brindle,White,,730.0,Return_to_owner,Neutered Male,True
184,domestic medium hair,,True,1,Brown,Tabby,,,28.0,Transfer,Intact Female,False
185,domestic shorthair,,True,1,Black,,White,,365.0,Transfer,Intact Female,True
186,yorkshire terrier,miniature poodle,False,0,Tan,,Silver,,730.0,Adoption,Spayed Female,True
187,domestic shorthair,,True,1,Orange,Tabby,,,300.0,Transfer,Intact Male,False
188,german shepherd,,True,0,White,,,,1460.0,Transfer,Spayed Female,True
189,domestic shorthair,,True,1,Brown,Tabby,White,,120.0,Adoption,Spayed Female,True
190,catahoula,labrador retriever,False,0,White,,Tan,,2190.0,Transfer,Spayed Female,True
191,miniature poodle,,True,0,Black,,White,,270.0,Adoption,Spayed Female,False
192,jack russell terrier,pit bull,False,0,Red,,,,1095.0,Adoption,Spayed Female,True
193,domestic shorthair,,True,1,Torbie,,,,240.0,Adoption,Spayed Female,True
194,queensland heeler,shetland sheepdog,False,0,Red,Tick,Black,,300.0,Adoption,Spayed Female,True
195,domestic shorthair,,True,1,White,,Cream,Tabby,365.0,Transfer,Neutered Male,False
196,catahoula,,True,0,Blue,Merle,,,365.0,Adoption,Neutered Male,True
197,labrador retriever,,True,0,Black,,White,,365.0,Adoption,Neutered Male,True
198,labrador retriever,,True,0,Yellow,,,,90.0,Adoption,Neutered Male,True
199,chihuahua shorthair,,True,0,Chocolate,,Tan,,2190.0,Return_to_owner,Intact Male,True
200,domestic longhair,,True,1,Black,,,,365.0,Transfer,Unknown,False
201,american pit bull terrier,,True,0,Tan,,White,,730.0,Return_to_owner,Neutered Male,True
202,dachshund longhair,,True,0,Tan,,White,,1825.0,Adoption,Spayed Female,False
203,domestic longhair,,True,1,Orange,Tabby,White,,4380.0,Euthanasia,Neutered Male,False
204,german shepherd,,True,0,Sable,,,,730.0,Adoption,Spayed Female,True
205,labrador retriever,,True,0,Black,,White,,2190.0,Adoption,Neutered Male,True
206,domestic shorthair,,True,1,Black,,,,90.0,Adoption,Neutered Male,True
207,doberman pinsch,,True,0,Tricolor,,,,240.0,Return_to_owner,Spayed Female,True
208,domestic shorthair,,True,1,Black,,,,365.0,Transfer,Neutered Male,True
209,domestic shorthair,,True,1,Black,,,,5475.0,Transfer,Intact Female,True
210,pointer,,True,0,Chocolate,,White,,21.0,Transfer,Intact Female,False
211,dachshund,jack russell terrier,False,0,White,,Brown,,150.0,Adoption,Neutered Male,True
212,miniature poodle,miniature schnauzer,False,0,Black,,White,,730.0,Adoption,Neutered Male,False
213,whippet,,True,0,Brown,Brindle,White,,730.0,Adoption,Spayed Female,True
214,australian shepherd,,True,0,Brown,Merle,White,,730.0,Return_to_owner,Intact Male,True
215,labrador retriever,,True,0,Tan,,White,,730.0,Adoption,Spayed Female,False
216,domestic shorthair,,True,1,Calico,,,,21.0,Transfer,Intact Female,False
217,pit bull,,True,0,Brown,Tiger,White,,365.0,Transfer,Spayed Female,True
218,domestic shorthair,,True,1,Brown,Tabby,White,,730.0,Transfer,Intact Male,False
219,domestic shorthair,,True,1,Brown,Tabby,,,28.0,Transfer,Intact Male,True
220,chihuahua shorthair,,True,0,White,,Brown,,1460.0,Transfer,Neutered Male,True
221,domestic shorthair,,True,1,Brown,Tabby,,,21.0,Transfer,Intact Male,False
222,domestic shorthair,,True,1,Black,,,,60.0,Adoption,Intact Male,True
223,rat terrier,,True,0,White,,Black,,365.0,Transfer,Spayed Female,True
224,english pointer,,True,0,Brown,,White,,60.0,Adoption,Spayed Female,True
225,miniature schnauzer,yorkshire terrier,False,0,Black,,White,,365.0,Adoption,Spayed Female,True
226,cairn terrier,,True,0,Buff,,,,1095.0,Adoption,Spayed Female,False
227,labrador retriever,pit bull,False,0,Black,,,,3285.0,Euthanasia,Neutered Male,True
228,domestic shorthair,,True,1,White,,Black,,730.0,Return_to_owner,Spayed Female,True
229,great dane,,False,0,Black,,White,,1825.0,Transfer,Spayed Female,False
230,chihuahua shorthair,,True,0,Black,,White,,730.0,Return_to_owner,Intact Male,True
231,chesa bay retr,,False,0,Brown,,,,730.0,Return_to_owner,Neutered Male,True
232,german shepherd,,False,0,Brown,,Black,,2555.0,Return_to_owner,Neutered Male,True
233,domestic shorthair,,True,1,Brown,Tabby,White,,365.0,Transfer,Intact Female,False
234,domestic shorthair,,True,1,Black,,White,,2190.0,Adoption,Spayed Female,True
235,domestic shorthair,,True,1,Orange,Tabby,White,,60.0,Adoption,Neutered Male,True
236,chihuahua shorthair,,True,0,Tan,,Black,,365.0,Return_to_owner,Spayed Female,True
237,domestic shorthair,,True,1,Orange,Tabby,White,,60.0,Adoption,Neutered Male,False
238,plott hound,,True,0,Brown,Brindle,,,2190.0,Return_to_owner,Spayed Female,True
239,domestic shorthair,,True,1,Brown,Tabby,White,,60.0,Transfer,Intact Male,False
240,chihuahua shorthair,,True,0,Brown,,Black,,730.0,Adoption,Spayed Female,True
241,siamese,,True,1,Flame,Point,,,2555.0,Adoption,Neutered Male,True
242,domestic shorthair,,True,1,Brown,Tabby,White,,90.0,Adoption,Spayed Female,True
243,chow chow,,True,0,Red,,,,1095.0,Adoption,Neutered Male,True
244,domestic shorthair,,True,1,Black,,,,730.0,Transfer,Intact Female,False
245,english pointer,,False,0,Liver,,White,,2555.0,Adoption,Spayed Female,False
246,domestic shorthair,,True,1,White,,Blue,Tabby,30.0,Euthanasia,Intact Male,False
247,pit bull,,True,0,Brown,,White,,730.0,Return_to_owner,Spayed Female,True
248,boxer,,True,0,Black,,White,,150.0,Return_to_owner,Intact Female,True
249,basset hound,labrador retriever,False,0,Black,,White,,1460.0,Transfer,Neutered Male,True
250,labrador retriever,,True,0,Buff,,,,730.0,Return_to_owner,Neutered Male,True
251,airedale terrier,,True,0,Tricolor,,,,2555.0,Transfer,Spayed Female,True
252,labrador retriever,chow chow,False,0,Brown,,,,365.0,Adoption,Neutered Male,True
253,domestic shorthair,,True,1,Orange,Tabby,White,,30.0,Transfer,Neutered Male,False
254,beagle,german shepherd,False,0,Black,,Brown,,30.0,Adoption,Neutered Male,True
255,manx,,True,1,White,,Black,,60.0,Adoption,Neutered Male,True
256,domestic shorthair,,True,1,Blue,,,,1095.0,Transfer,Intact Female,False
257,chihuahua shorthair,rat terrier,False,0,Tan,,White,,1460.0,Transfer,Spayed Female,True
258,pit bull,,True,0,Black,,White,,365.0,Adoption,Spayed Female,True
259,flat coat retriever,,True,0,Black,,White,,730.0,Adoption,Spayed Female,True
260,cocker spaniel,,False,0,Buff,,,,3650.0,Transfer,Spayed Female,True
261,domestic shorthair,,True,1,Brown,Tabby,,,60.0,Adoption,Neutered Male,True
262,chihuahua shorthair,,True,0,Tan,,,,3650.0,Adoption,Spayed Female,True
263,domestic longhair,,True,1,Brown,Tabby,White,,730.0,Adoption,Spayed Female,True
264,rat terrier,,True,0,White,,Black,,2555.0,Return_to_owner,Spayed Female,True
265,border terrier,chihuahua shorthair,False,0,Tan,,Black,,365.0,Adoption,Neutered Male,False
266,pit bull,,True,0,Brown,Brindle,White,,1825.0,Transfer,Neutered Male,True
267,chihuahua shorthair,,True,0,Black,,Gray,,2190.0,Return_to_owner,Spayed Female,True
268,domestic shorthair,,True,1,Brown,Tabby,,,7.0,Transfer,Unknown,False
269,pit bull,,True,0,Tan,,White,,2555.0,Euthanasia,Spayed Female,False
270,chihuahua longhair,,True,0,Black,,,,365.0,Adoption,Neutered Male,True
271,jack russell terrier,dachshund,False,0,White,,Brown,,365.0,Adoption,Neutered Male,True
272,domestic shorthair,,True,1,Orange,Tabby,,,14.0,Transfer,Intact Female,False
273,domestic shorthair,,True,1,Orange,Tabby,,,365.0,Transfer,Intact Female,False
274,german shepherd,,False,0,Black,,Brown,,1825.0,Return_to_owner,Neutered Male,True
275,rottweiler,,True,0,Black,,Tan,,730.0,Return_to_owner,Spayed Female,True
276,siberian husky,,True,0,White,,Cream,,300.0,Adoption,Neutered Male,True
277,domestic shorthair,,True,1,Black,,,,90.0,Transfer,Intact Female,False
278,cardigan welsh corgi,cardigan welsh corgi,False,0,Fawn,,White,,270.0,Adoption,Neutered Male,True
279,domestic shorthair,,True,1,Black,,White,,30.0,Transfer,Intact Female,False
280,domestic shorthair,,True,1,Blue,,,,0.0,Transfer,Unknown,False
281,domestic shorthair,,True,1,Calico,,,,1825.0,Transfer,Spayed Female,False
282,chihuahua shorthair,,True,0,Chocolate,,White,,240.0,Adoption,Spayed Female,False
283,cairn terrier,,True,0,Cream,,,,365.0,Transfer,Intact Male,False
284,domestic shorthair,,True,1,Orange,Tabby,,,60.0,Adoption,Spayed Female,True
285,domestic shorthair,,False,1,Black,,White,,90.0,Return_to_owner,Neutered Male,True
286,chihuahua shorthair,,True,0,Chocolate,,White,,5110.0,Return_to_owner,Intact Male,True
287,labrador retriever,,True,0,Chocolate,,,,2555.0,Return_to_owner,Neutered Male,True
288,shih tzu,,False,0,Gray,,White,,730.0,Adoption,Neutered Male,True
289,plott hound,,True,0,Brown,Brindle,,,180.0,Transfer,Spayed Female,True
290,australian shepherd,,True,0,Tan,,White,,330.0,Adoption,Neutered Male,True
291,chihuahua shorthair,,True,0,Tan,,White,,1095.0,Adoption,Neutered Male,True
292,domestic longhair,,True,1,Black,,White,,60.0,Transfer,Intact Female,True
293,labrador retriever,border collie,False,0,Black,,White,,365.0,Adoption,Neutered Male,True
294,siamese,,True,1,Blue,Point,,,28.0,Euthanasia,Intact Female,False
295,chihuahua shorthair,,True,0,White,,Brown,,1460.0,Euthanasia,Neutered Male,True
296,domestic medium hair,,True,1,Orange,Tabby,,,2920.0,Adoption,Neutered Male,True
297,domestic shorthair,,True,1,Calico,,,,90.0,Adoption,Spayed Female,True
298,australian cattle dog,,True,0,Brown,,White,,60.0,Adoption,Spayed Female,True
299,domestic shorthair,,True,1,Tortie,,,,120.0,Adoption,Spayed Female,False
300,labrador retriever,great dane,False,0,Tan,,Black,,730.0,Euthanasia,Intact Male,False
301,dachshund,,True,0,Brown,,,,2190.0,Return_to_owner,Neutered Male,True
302,boxer,,True,0,Brown,Brindle,White,,330.0,Transfer,Spayed Female,True
303,labrador retriever,,True,0,Tan,,White,,365.0,Transfer,Spayed Female,False
304,shih tzu,miniature poodle,False,0,Apricot,,White,,1460.0,Transfer,Neutered Male,False
305,domestic medium hair,,True,1,Blue,,White,,60.0,Adoption,Neutered Male,True
306,pit bull,,True,0,Red,,,,730.0,Transfer,Neutered Male,False
307,australian cattle dog,,True,0,Red,Merle,Black,,60.0,Adoption,Spayed Female,False
308,domestic shorthair,,True,1,Black,,,,180.0,Adoption,Neutered Male,True
309,domestic shorthair,,True,1,Black,,White,,2920.0,Adoption,Neutered Male,True
310,domestic shorthair,,True,1,Brown,Tabby,,,1095.0,Return_to_owner,Neutered Male,True
311,chihuahua shorthair,,True,0,Brown,,White,,730.0,Adoption,Neutered Male,True
312,australian cattle dog,,True,0,White,,Brown,,60.0,Transfer,Intact Male,False
313,domestic shorthair,,True,1,Tortie,,,,21.0,Transfer,Intact Female,False
314,domestic shorthair,,True,1,Brown,Tabby,,,60.0,Adoption,Spayed Female,True
315,german shepherd,,True,0,Brown,,,,1460.0,Adoption,Neutered Male,True
316,domestic shorthair,,True,1,Brown,Tabby,White,,1825.0,Transfer,Neutered Male,True
317,pointer,,True,0,Chocolate,,White,,730.0,Adoption,Spayed Female,True
318,domestic medium hair,,True,1,Calico,,,,180.0,Transfer,Intact Female,False
319,miniature poodle,,True,0,Black,,Gray,,730.0,Transfer,Spayed Female,False
320,collie smooth,chow chow,False,0,Sable,,,,3650.0,Return_to_owner,Spayed Female,True
321,domestic shorthair,,True,1,Black,,White,,180.0,Transfer,Intact Male,False
322,domestic shorthair,,True,1,Calico,,,,60.0,Transfer,Intact Female,True
323,cocker spaniel,,True,0,Sable,,,,180.0,Adoption,Neutered Male,True
324,chihuahua shorthair,,True,0,Tricolor,,,,2920.0,Return_to_owner,Neutered Male,True
325,labrador retriever,,True,0,Buff,,,,180.0,Adoption,Neutered Male,False
326,siamese,,True,1,Seal,Point,,,90.0,Transfer,Intact Male,False
327,rottweiler,labrador retriever,False,0,Black,,Tan,,365.0,Adoption,Spayed Female,True
328,chihuahua shorthair,,True,0,Brown,,Black,,365.0,Adoption,Spayed Female,True
329,boxer,,True,0,Tricolor,,,,60.0,Adoption,Neutered Male,True
